model,mean_hv,std_hv,population_size,generations,seeding_prop,ones_prop,crossover_prob,mutation_prob,ls_start,ls_end
LogReg,30.828169014084505,0.15439086880050226,100,20,0.35,0.03,0.4,0.09,0.05,0.7
LogReg,30.90422535211268,0.2104962444199359,100,20,0.15,0.03,0.4,0.07,0.25,0.6
LogReg,30.72676056338028,0.3669115459116933,100,20,0.35,0.03,0.5,0.05,0.2,0.5
LogReg,30.7887323943662,0.2356788807138245,100,20,0.25,0.04,0.4,0.09,0.1,0.8
LogReg,30.864788732394363,0.1577464788732385,100,20,0.3,0.04,0.6,0.03,0.1,0.5
LogReg,30.96056338028169,0.1566865801146279,100,20,0.25,0.0,0.6,0.01,0.2,0.6
LogReg,30.66197183098592,0.16593438281716155,100,20,0.4,0.02,0.5,0.07,0.15,0.8
LogReg,31.005633802816902,0.14626202800841773,100,20,0.1,0.02,0.8,0.09,0.15,0.3
LogReg,30.8,0.24156469379738985,100,20,0.25,0.02,0.5,0.09,0.15,0.7
LogReg,30.828169014084505,0.14374479799631543,100,20,0.2,0.0,0.5,0.1,0.1,0.6
LogReg,30.892957746478874,0.30916696052819903,100,20,0.4,0.03,0.5,0.05,0.15,0.4
LogReg,30.988732394366195,0.14782694944678215,100,20,0.1,0.0,0.7,0.01,0.15,0.6
LogReg,30.91267605633802,0.03607393936581929,100,20,0.35,0.05,0.6,0.07,0.2,0.3
LogReg,30.783098591549294,0.19669960845178636,100,20,0.35,0.0,0.8,0.09,0.1,0.6
LogReg,30.836619718309855,0.15366965292378346,100,20,0.35,0.0,0.6,0.09,0.05,0.5
LogReg,30.822535211267603,0.2644888922660393,100,20,0.25,0.04,1.0,0.03,0.15,0.4
LogReg,30.92112676056338,0.03403674922139337,100,20,0.3,0.0,0.7,0.07,0.1,0.7
LogReg,30.95492957746479,0.09651741802260243,100,20,0.1,0.01,0.8,0.03,0.15,0.5
LogReg,30.845070422535212,0.15505756557208894,100,20,0.25,0.03,0.4,0.07,0.05,0.5
LogReg,30.83943661971831,0.2635873254149764,100,20,0.2,0.01,0.8,0.09,0.15,0.4
LogReg,30.74366197183098,0.16579086162886897,100,20,0.3,0.02,0.4,0.1,0.25,0.5
LogReg,31.04225352112676,0.17659073823839375,100,20,0.15,0.02,0.9,0.01,0.2,0.8
LogReg,30.845070422535212,0.15505756557208752,100,20,0.3,0.05,1.0,0.03,0.3,0.8
LogReg,31.04225352112676,0.1743295599635566,100,20,0.4,0.0,1.0,0.01,0.05,0.6
LogReg,30.75774647887324,0.17419295587312897,100,20,0.2,0.04,0.6,0.03,0.05,0.5
LogReg,30.92676056338028,0.23201420036026954,100,20,0.4,0.01,1.0,0.03,0.05,0.7
LogReg,30.980281690140846,0.10218792758995575,100,20,0.15,0.0,0.8,0.05,0.2,0.7
LogReg,30.819718309859155,0.1366705292474157,100,20,0.2,0.01,0.7,0.09,0.25,0.7
LogReg,30.92676056338028,0.2318431362653766,100,20,0.4,0.05,0.8,0.05,0.2,0.4
LogReg,30.825352112676057,0.14045015056132754,100,20,0.3,0.02,0.5,0.07,0.25,0.4
LogReg,30.89014084507042,0.21644363619491197,100,20,0.2,0.03,0.4,0.01,0.15,0.6
LogReg,31.005633802816895,0.12394366197183189,100,20,0.25,0.0,1.0,0.03,0.15,0.4
LogReg,31.118309859154927,0.15597597971726346,100,20,0.1,0.04,1.0,0.03,0.05,0.6
LogReg,30.83098591549296,0.25724957874548393,100,20,0.15,0.05,0.8,0.1,0.3,0.6
LogReg,30.76338028169014,0.19278804092696972,100,20,0.4,0.03,0.4,0.09,0.1,0.3
LogReg,30.72676056338028,0.27794696075592057,100,20,0.25,0.03,0.4,0.07,0.2,0.5
LogReg,30.99154929577465,0.13170332087392547,100,20,0.2,0.03,1.0,0.09,0.1,0.8
SVC,32.4169014084507,0.17762121431475247,100,20,0.35,0.04,0.6,0.07,0.15,0.5
SVC,32.543661971830986,0.11937814141079998,100,20,0.1,0.02,0.6,0.1,0.1,0.4
SVC,32.442253521126766,0.1796202655428724,100,20,0.4,0.0,0.8,0.03,0.1,0.7
SVC,32.47042253521127,0.18803740020595625,100,20,0.35,0.04,0.5,0.05,0.25,0.8
SVC,32.47323943661972,0.19810648983117957,100,20,0.1,0.04,0.4,0.05,0.1,0.3
SVC,32.35211267605634,0.14168762073193536,100,20,0.25,0.01,0.8,0.1,0.15,0.8
SVC,32.50422535211268,0.17935501272937043,100,20,0.2,0.05,0.7,0.07,0.05,0.3
